"Date","Site","Depth","TPinf_interp"
2013-05-16,50,0.1,49.9
2013-05-16,50,0.8,49.9
2013-05-16,50,1.6,49.9
2013-05-16,50,2.8,49.9
2013-05-16,50,3.8,49.9
2013-05-16,50,5,49.9
2013-05-16,50,5.2,NA
2013-05-16,50,5.5,NA
2013-05-16,50,5.8,NA
2013-05-16,50,6,NA
2013-05-16,50,6.2,49.9
2013-05-16,50,8,49.9
2013-05-16,50,9,NA
2013-05-16,50,9.3,NA
2013-05-21,50,0.1,41.1
2013-05-21,50,0.8,41.1
2013-05-21,50,1.6,41.1
2013-05-21,50,2.8,41.1
2013-05-21,50,3.8,41.1
2013-05-21,50,5,41.1
2013-05-21,50,5.2,NA
2013-05-21,50,5.5,NA
2013-05-21,50,5.8,NA
2013-05-21,50,6,NA
2013-05-21,50,6.2,41.1
2013-05-21,50,8,41.1
2013-05-21,50,9,NA
2013-05-21,50,9.3,NA
2013-05-23,50,0.1,32.3
2013-05-23,50,0.8,32.3
2013-05-23,50,1.6,32.3
2013-05-23,50,2.8,32.3
2013-05-23,50,3.8,32.3
2013-05-23,50,5,32.3
2013-05-23,50,5.2,NA
2013-05-23,50,5.5,NA
2013-05-23,50,5.8,NA
2013-05-23,50,6,NA
2013-05-23,50,6.2,32.3
2013-05-23,50,8,32.3
2013-05-23,50,9,NA
2013-05-23,50,9.3,NA
2013-05-30,50,0.1,36.5
2013-05-30,50,0.8,36.5
2013-05-30,50,1.6,36.5
2013-05-30,50,2.8,36.5
2013-05-30,50,3.8,36.5
2013-05-30,50,5,36.5
2013-05-30,50,5.2,NA
2013-05-30,50,5.5,NA
2013-05-30,50,5.8,NA
2013-05-30,50,6,NA
2013-05-30,50,6.2,36.5
2013-05-30,50,8,36.5
2013-05-30,50,9,NA
2013-05-30,50,9.3,NA
2013-06-04,50,0.1,36.0333333333333
2013-06-04,50,0.8,37.3166666666667
2013-06-04,50,1.6,36.0333333333333
2013-06-04,50,2.8,37.3166666666667
2013-06-04,50,3.8,36.0333333333333
2013-06-04,50,5,36.0333333333333
2013-06-04,50,5.2,NA
2013-06-04,50,5.5,NA
2013-06-04,50,5.8,NA
2013-06-04,50,6,NA
2013-06-04,50,6.2,36.0333333333333
2013-06-04,50,8,36.0333333333333
2013-06-04,50,9,NA
2013-06-04,50,9.3,NA
2013-06-06,50,0.1,35.5666666666667
2013-06-06,50,0.8,38.1333333333333
2013-06-06,50,1.6,35.5666666666667
2013-06-06,50,2.8,38.1333333333333
2013-06-06,50,3.8,35.5666666666667
2013-06-06,50,5,35.5666666666667
2013-06-06,50,5.2,NA
2013-06-06,50,5.5,NA
2013-06-06,50,5.8,NA
2013-06-06,50,6,NA
2013-06-06,50,6.2,35.5666666666667
2013-06-06,50,8,35.5666666666667
2013-06-06,50,9,NA
2013-06-06,50,9.3,NA
2013-06-13,50,0.1,35.1
2013-06-13,50,0.8,38.95
2013-06-13,50,1.6,35.1
2013-06-13,50,2.8,38.95
2013-06-13,50,3.8,35.1
2013-06-13,50,5,35.1
2013-06-13,50,5.2,NA
2013-06-13,50,5.5,NA
2013-06-13,50,5.8,NA
2013-06-13,50,6,NA
2013-06-13,50,6.2,35.1
2013-06-13,50,8,35.1
2013-06-13,50,9,NA
2013-06-13,50,9.3,NA
2013-06-20,50,0.1,37.2
2013-06-20,50,0.8,39.7666666666667
2013-06-20,50,1.6,37.2
2013-06-20,50,2.8,39.7666666666667
2013-06-20,50,3.8,37.2
2013-06-20,50,5,37.2
2013-06-20,50,5.2,NA
2013-06-20,50,5.5,NA
2013-06-20,50,5.8,NA
2013-06-20,50,6,NA
2013-06-20,50,6.2,37.2
2013-06-20,50,8,37.2
2013-06-20,50,9,NA
2013-06-20,50,9.3,NA
2013-06-25,50,0.1,39.3
2013-06-25,50,0.8,40.5833333333333
2013-06-25,50,1.6,39.3
2013-06-25,50,2.8,40.5833333333333
2013-06-25,50,3.8,39.3
2013-06-25,50,5,39.3
2013-06-25,50,5.2,NA
2013-06-25,50,5.5,NA
2013-06-25,50,5.8,NA
2013-06-25,50,6,NA
2013-06-25,50,6.2,39.3
2013-06-25,50,8,39.3
2013-06-25,50,9,NA
2013-06-25,50,9.3,NA
2013-06-27,50,0.1,41.4
2013-06-27,50,0.8,41.4
2013-06-27,50,1.6,41.4
2013-06-27,50,2.8,41.4
2013-06-27,50,3.8,41.4
2013-06-27,50,5,41.4
2013-06-27,50,5.2,NA
2013-06-27,50,5.5,NA
2013-06-27,50,5.8,NA
2013-06-27,50,6,NA
2013-06-27,50,6.2,41.4
2013-06-27,50,8,41.4
2013-06-27,50,9,NA
2013-06-27,50,9.3,NA
2013-07-03,50,0.1,68.9
2013-07-03,50,0.8,68.9
2013-07-03,50,1.6,68.9
2013-07-03,50,2.8,68.9
2013-07-03,50,3.8,68.9
2013-07-03,50,5,68.9
2013-07-03,50,5.2,NA
2013-07-03,50,5.5,NA
2013-07-03,50,5.8,NA
2013-07-03,50,6,NA
2013-07-03,50,6.2,68.9
2013-07-03,50,8,68.9
2013-07-03,50,9,NA
2013-07-03,50,9.3,NA
2013-07-11,50,0.1,48.8
2013-07-11,50,0.8,48.8
2013-07-11,50,1.6,48.8
2013-07-11,50,2.8,48.8
2013-07-11,50,3.8,48.8
2013-07-11,50,5,48.8
2013-07-11,50,5.2,NA
2013-07-11,50,5.5,NA
2013-07-11,50,5.8,NA
2013-07-11,50,6,NA
2013-07-11,50,6.2,48.8
2013-07-11,50,8,48.8
2013-07-11,50,9,NA
2013-07-11,50,9.3,NA
2013-07-15,50,0.1,35
2013-07-15,50,0.8,35
2013-07-15,50,1.6,35
2013-07-15,50,2.8,35
2013-07-15,50,3.8,35
2013-07-15,50,5,35
2013-07-15,50,5.2,NA
2013-07-15,50,5.5,NA
2013-07-15,50,5.8,NA
2013-07-15,50,6,NA
2013-07-15,50,6.2,35
2013-07-15,50,8,35
2013-07-15,50,9,NA
2013-07-15,50,9.3,NA
2013-07-18,50,0.1,43.2666666666667
2013-07-18,50,0.8,43.2666666666667
2013-07-18,50,1.6,43.2666666666667
2013-07-18,50,2.8,43.2666666666667
2013-07-18,50,3.8,43.2666666666667
2013-07-18,50,5,43.2666666666667
2013-07-18,50,5.2,NA
2013-07-18,50,5.5,NA
2013-07-18,50,5.8,NA
2013-07-18,50,6,NA
2013-07-18,50,6.2,43.2666666666667
2013-07-18,50,8,43.2666666666667
2013-07-18,50,9,NA
2013-07-18,50,9.3,NA
2013-07-22,50,0.1,51.5333333333333
2013-07-22,50,0.8,51.5333333333333
2013-07-22,50,1.6,51.5333333333333
2013-07-22,50,2.8,51.5333333333333
2013-07-22,50,3.8,51.5333333333333
2013-07-22,50,5,51.5333333333333
2013-07-22,50,5.2,NA
2013-07-22,50,5.5,NA
2013-07-22,50,5.8,NA
2013-07-22,50,6,NA
2013-07-22,50,6.2,51.5333333333333
2013-07-22,50,8,51.5333333333333
2013-07-22,50,9,NA
2013-07-22,50,9.3,NA
2013-07-25,50,0.1,59.8
2013-07-25,50,0.8,59.8
2013-07-25,50,1.6,59.8
2013-07-25,50,2.8,59.8
2013-07-25,50,3.8,59.8
2013-07-25,50,5,59.8
2013-07-25,50,5.2,NA
2013-07-25,50,5.5,NA
2013-07-25,50,5.8,NA
2013-07-25,50,6,NA
2013-07-25,50,6.2,59.8
2013-07-25,50,8,59.8
2013-07-25,50,9,NA
2013-07-25,50,9.3,NA
2013-07-29,50,0.1,52.6
2013-07-29,50,0.8,52.6
2013-07-29,50,1.6,52.6
2013-07-29,50,2.8,52.6
2013-07-29,50,3.8,52.6
2013-07-29,50,5,52.6
2013-07-29,50,5.2,NA
2013-07-29,50,5.5,NA
2013-07-29,50,5.8,NA
2013-07-29,50,6,NA
2013-07-29,50,6.2,52.6
2013-07-29,50,8,52.6
2013-07-29,50,9,NA
2013-07-29,50,9.3,NA
2013-08-01,50,0.1,79.3
2013-08-01,50,0.8,79.3
2013-08-01,50,1.6,79.3
2013-08-01,50,2.8,79.3
2013-08-01,50,3.8,79.3
2013-08-01,50,5,79.3
2013-08-01,50,5.2,NA
2013-08-01,50,5.5,NA
2013-08-01,50,5.8,NA
2013-08-01,50,6,NA
2013-08-01,50,6.2,79.3
2013-08-01,50,8,79.3
2013-08-01,50,9,NA
2013-08-01,50,9.3,NA
2013-08-08,50,0.1,61.7
2013-08-08,50,0.8,61.7
2013-08-08,50,1.6,61.7
2013-08-08,50,2.8,61.7
2013-08-08,50,3.8,61.7
2013-08-08,50,5,61.7
2013-08-08,50,5.2,NA
2013-08-08,50,5.5,NA
2013-08-08,50,5.8,NA
2013-08-08,50,6,NA
2013-08-08,50,6.2,61.7
2013-08-08,50,8,61.7
2013-08-08,50,9,NA
2013-08-08,50,9.3,NA
2013-08-12,50,0.1,36.6
2013-08-12,50,0.8,36.6
2013-08-12,50,1.6,36.6
2013-08-12,50,2.8,36.6
2013-08-12,50,3.8,36.6
2013-08-12,50,5,36.6
2013-08-12,50,5.2,NA
2013-08-12,50,5.5,NA
2013-08-12,50,5.8,NA
2013-08-12,50,6,NA
2013-08-12,50,6.2,36.6
2013-08-12,50,8,36.6
2013-08-12,50,9,NA
2013-08-12,50,9.3,NA
2013-08-18,50,0.1,37.3
2013-08-18,50,0.8,37.3
2013-08-18,50,1.6,37.3
2013-08-18,50,2.8,37.3
2013-08-18,50,3.8,37.3
2013-08-18,50,5,37.3
2013-08-18,50,5.2,NA
2013-08-18,50,5.5,NA
2013-08-18,50,5.8,NA
2013-08-18,50,6,NA
2013-08-18,50,6.2,37.3
2013-08-18,50,8,37.3
2013-08-18,50,9,NA
2013-08-18,50,9.3,NA
2013-08-23,50,0.1,38
2013-08-23,50,0.8,38
2013-08-23,50,1.6,38
2013-08-23,50,2.8,38
2013-08-23,50,3.8,38
2013-08-23,50,5,38
2013-08-23,50,5.2,NA
2013-08-23,50,5.5,NA
2013-08-23,50,5.8,NA
2013-08-23,50,6,NA
2013-08-23,50,6.2,38
2013-08-23,50,8,38
2013-08-23,50,9,NA
2013-08-23,50,9.3,NA
2013-08-28,50,0.1,38.7
2013-08-28,50,0.8,38.7
2013-08-28,50,1.6,38.7
2013-08-28,50,2.8,38.7
2013-08-28,50,3.8,38.7
2013-08-28,50,5,38.7
2013-08-28,50,5.2,NA
2013-08-28,50,5.5,NA
2013-08-28,50,5.8,NA
2013-08-28,50,6,NA
2013-08-28,50,6.2,38.7
2013-08-28,50,8,38.7
2013-08-28,50,9,NA
2013-08-28,50,9.3,NA
2013-09-06,50,0.1,39.4
2013-09-06,50,0.8,39.4
2013-09-06,50,1.6,39.4
2013-09-06,50,2.8,39.4
2013-09-06,50,3.8,39.4
2013-09-06,50,5,39.4
2013-09-06,50,5.2,NA
2013-09-06,50,5.5,NA
2013-09-06,50,5.8,NA
2013-09-06,50,6,NA
2013-09-06,50,6.2,39.4
2013-09-06,50,8,39.4
2013-09-06,50,9,NA
2013-09-06,50,9.3,NA
2013-09-13,50,0.1,40.1
2013-09-13,50,0.8,40.1
2013-09-13,50,1.6,40.1
2013-09-13,50,2.8,40.1
2013-09-13,50,3.8,40.1
2013-09-13,50,5,40.1
2013-09-13,50,5.2,NA
2013-09-13,50,5.5,NA
2013-09-13,50,5.8,NA
2013-09-13,50,6,NA
2013-09-13,50,6.2,40.1
2013-09-13,50,8,40.1
2013-09-13,50,9,NA
2013-09-13,50,9.3,NA
2013-09-18,50,0.1,40.8
2013-09-18,50,0.8,40.8
2013-09-18,50,1.6,40.8
2013-09-18,50,2.8,40.8
2013-09-18,50,3.8,40.8
2013-09-18,50,5,40.8
2013-09-18,50,5.2,NA
2013-09-18,50,5.5,NA
2013-09-18,50,5.8,NA
2013-09-18,50,6,NA
2013-09-18,50,6.2,40.8
2013-09-18,50,8,40.8
2013-09-18,50,9,NA
2013-09-18,50,9.3,NA
2013-09-25,50,0.1,46.7
2013-09-25,50,0.8,46.7
2013-09-25,50,1.6,46.7
2013-09-25,50,2.8,46.7
2013-09-25,50,3.8,46.7
2013-09-25,50,5,46.7
2013-09-25,50,5.2,NA
2013-09-25,50,5.5,NA
2013-09-25,50,5.8,NA
2013-09-25,50,6,NA
2013-09-25,50,6.2,46.7
2013-09-25,50,8,46.7
2013-09-25,50,9,NA
2013-09-25,50,9.3,NA
2013-10-04,50,0.1,NA
2013-10-04,50,0.8,NA
2013-10-04,50,1.6,NA
2013-10-04,50,2.8,NA
2013-10-04,50,3.8,NA
2013-10-04,50,5,NA
2013-10-04,50,5.2,NA
2013-10-04,50,5.5,NA
2013-10-04,50,5.8,NA
2013-10-04,50,6,NA
2013-10-04,50,6.2,NA
2013-10-04,50,8,NA
2013-10-04,50,9,NA
2013-10-04,50,9.3,NA
2013-10-11,50,0.1,NA
2013-10-11,50,0.8,NA
2013-10-11,50,1.6,NA
2013-10-11,50,2.8,NA
2013-10-11,50,3.8,NA
2013-10-11,50,5,NA
2013-10-11,50,5.2,NA
2013-10-11,50,5.5,NA
2013-10-11,50,5.8,NA
2013-10-11,50,6,NA
2013-10-11,50,6.2,NA
2013-10-11,50,8,NA
2013-10-11,50,9,NA
2013-10-11,50,9.3,NA
2013-10-16,50,0.1,NA
2013-10-16,50,0.8,NA
2013-10-16,50,1.6,NA
2013-10-16,50,2.8,NA
2013-10-16,50,3.8,NA
2013-10-16,50,5,NA
2013-10-16,50,5.2,NA
2013-10-16,50,5.5,NA
2013-10-16,50,5.8,NA
2013-10-16,50,6,NA
2013-10-16,50,6.2,NA
2013-10-16,50,8,NA
2013-10-16,50,9,NA
2013-10-16,50,9.3,NA
2013-10-23,50,0.1,NA
2013-10-23,50,0.8,NA
2013-10-23,50,1.6,NA
2013-10-23,50,2.8,NA
2013-10-23,50,3.8,NA
2013-10-23,50,5,NA
2013-10-23,50,5.2,NA
2013-10-23,50,5.5,NA
2013-10-23,50,5.8,NA
2013-10-23,50,6,NA
2013-10-23,50,6.2,NA
2013-10-23,50,8,NA
2013-10-23,50,9,NA
2013-10-23,50,9.3,NA
2013-10-30,50,0.1,NA
2013-10-30,50,0.8,NA
2013-10-30,50,1.6,NA
2013-10-30,50,2.8,NA
2013-10-30,50,3.8,NA
2013-10-30,50,5,NA
2013-10-30,50,5.2,NA
2013-10-30,50,5.5,NA
2013-10-30,50,5.8,NA
2013-10-30,50,6,NA
2013-10-30,50,6.2,NA
2013-10-30,50,8,NA
2013-10-30,50,9,NA
2013-10-30,50,9.3,NA
2013-11-06,50,0.1,NA
2013-11-06,50,0.8,NA
2013-11-06,50,1.6,NA
2013-11-06,50,2.8,NA
2013-11-06,50,3.8,NA
2013-11-06,50,5,NA
2013-11-06,50,5.2,NA
2013-11-06,50,5.5,NA
2013-11-06,50,5.8,NA
2013-11-06,50,6,NA
2013-11-06,50,6.2,NA
2013-11-06,50,8,NA
2013-11-06,50,9,NA
2013-11-06,50,9.3,NA
2013-11-20,50,0.1,NA
2013-11-20,50,0.8,NA
2013-11-20,50,1.6,NA
2013-11-20,50,2.8,NA
2013-11-20,50,3.8,NA
2013-11-20,50,5,NA
2013-11-20,50,5.2,NA
2013-11-20,50,5.5,NA
2013-11-20,50,5.8,NA
2013-11-20,50,6,NA
2013-11-20,50,6.2,NA
2013-11-20,50,8,NA
2013-11-20,50,9,NA
2013-11-20,50,9.3,NA
2013-12-04,50,0.1,NA
2013-12-04,50,0.8,NA
2013-12-04,50,1.6,NA
2013-12-04,50,2.8,NA
2013-12-04,50,3.8,NA
2013-12-04,50,5,NA
2013-12-04,50,5.2,NA
2013-12-04,50,5.5,NA
2013-12-04,50,5.8,NA
2013-12-04,50,6,NA
2013-12-04,50,6.2,NA
2013-12-04,50,8,NA
2013-12-04,50,9,NA
2013-12-04,50,9.3,NA
2014-05-05,50,0.1,NA
2014-05-05,50,0.8,NA
2014-05-05,50,1.6,NA
2014-05-05,50,2.8,NA
2014-05-05,50,3.8,NA
2014-05-05,50,5,NA
2014-05-05,50,5.2,NA
2014-05-05,50,5.5,NA
2014-05-05,50,5.8,NA
2014-05-05,50,6,NA
2014-05-05,50,6.2,NA
2014-05-05,50,8,NA
2014-05-05,50,9,NA
2014-05-05,50,9.3,NA
2014-05-06,50,0.1,NA
2014-05-06,50,0.8,NA
2014-05-06,50,1.6,NA
2014-05-06,50,2.8,NA
2014-05-06,50,3.8,NA
2014-05-06,50,5,NA
2014-05-06,50,5.2,NA
2014-05-06,50,5.5,NA
2014-05-06,50,5.8,NA
2014-05-06,50,6,NA
2014-05-06,50,6.2,NA
2014-05-06,50,8,NA
2014-05-06,50,9,NA
2014-05-06,50,9.3,NA
2014-05-07,50,0.1,NA
2014-05-07,50,0.8,NA
2014-05-07,50,1.6,NA
2014-05-07,50,2.8,NA
2014-05-07,50,3.8,NA
2014-05-07,50,5,NA
2014-05-07,50,5.2,NA
2014-05-07,50,5.5,NA
2014-05-07,50,5.8,NA
2014-05-07,50,6,NA
2014-05-07,50,6.2,NA
2014-05-07,50,8,NA
2014-05-07,50,9,NA
2014-05-07,50,9.3,NA
2014-05-08,50,0.1,NA
2014-05-08,50,0.8,NA
2014-05-08,50,1.6,NA
2014-05-08,50,2.8,NA
2014-05-08,50,3.8,NA
2014-05-08,50,5,NA
2014-05-08,50,5.2,NA
2014-05-08,50,5.5,NA
2014-05-08,50,5.8,NA
2014-05-08,50,6,NA
2014-05-08,50,6.2,NA
2014-05-08,50,8,NA
2014-05-08,50,9,NA
2014-05-08,50,9.3,NA
2014-05-09,50,0.1,NA
2014-05-09,50,0.8,NA
2014-05-09,50,1.6,NA
2014-05-09,50,2.8,NA
2014-05-09,50,3.8,NA
2014-05-09,50,5,NA
2014-05-09,50,5.2,NA
2014-05-09,50,5.5,NA
2014-05-09,50,5.8,NA
2014-05-09,50,6,NA
2014-05-09,50,6.2,NA
2014-05-09,50,8,NA
2014-05-09,50,9,NA
2014-05-09,50,9.3,NA
2014-05-10,50,0.1,NA
2014-05-10,50,0.8,NA
2014-05-10,50,1.6,NA
2014-05-10,50,2.8,NA
2014-05-10,50,3.8,NA
2014-05-10,50,5,NA
2014-05-10,50,5.2,NA
2014-05-10,50,5.5,NA
2014-05-10,50,5.8,NA
2014-05-10,50,6,NA
2014-05-10,50,6.2,NA
2014-05-10,50,8,NA
2014-05-10,50,9,NA
2014-05-10,50,9.3,NA
2014-05-12,50,0.1,NA
2014-05-12,50,0.8,NA
2014-05-12,50,1.6,NA
2014-05-12,50,2.8,NA
2014-05-12,50,3.8,NA
2014-05-12,50,5,NA
2014-05-12,50,5.2,NA
2014-05-12,50,5.5,NA
2014-05-12,50,5.8,NA
2014-05-12,50,6,NA
2014-05-12,50,6.2,NA
2014-05-12,50,8,NA
2014-05-12,50,9,NA
2014-05-12,50,9.3,NA
2014-05-14,50,0.1,NA
2014-05-14,50,0.8,NA
2014-05-14,50,1.6,NA
2014-05-14,50,2.8,NA
2014-05-14,50,3.8,NA
2014-05-14,50,5,NA
2014-05-14,50,5.2,NA
2014-05-14,50,5.5,NA
2014-05-14,50,5.8,NA
2014-05-14,50,6,NA
2014-05-14,50,6.2,NA
2014-05-14,50,8,NA
2014-05-14,50,9,NA
2014-05-14,50,9.3,NA
2014-05-15,50,0.1,NA
2014-05-15,50,0.8,NA
2014-05-15,50,1.6,NA
2014-05-15,50,2.8,NA
2014-05-15,50,3.8,NA
2014-05-15,50,5,NA
2014-05-15,50,5.2,NA
2014-05-15,50,5.5,NA
2014-05-15,50,5.8,NA
2014-05-15,50,6,NA
2014-05-15,50,6.2,NA
2014-05-15,50,8,NA
2014-05-15,50,9,NA
2014-05-15,50,9.3,NA
2014-05-19,50,0.1,NA
2014-05-19,50,0.8,NA
2014-05-19,50,1.6,NA
2014-05-19,50,2.8,NA
2014-05-19,50,3.8,NA
2014-05-19,50,5,NA
2014-05-19,50,5.2,NA
2014-05-19,50,5.5,NA
2014-05-19,50,5.8,NA
2014-05-19,50,6,NA
2014-05-19,50,6.2,NA
2014-05-19,50,8,NA
2014-05-19,50,9,NA
2014-05-19,50,9.3,NA
2014-05-22,50,0.1,NA
2014-05-22,50,0.8,NA
2014-05-22,50,1.6,NA
2014-05-22,50,2.8,NA
2014-05-22,50,3.8,NA
2014-05-22,50,5,NA
2014-05-22,50,5.2,NA
2014-05-22,50,5.5,NA
2014-05-22,50,5.8,NA
2014-05-22,50,6,NA
2014-05-22,50,6.2,NA
2014-05-22,50,8,NA
2014-05-22,50,9,NA
2014-05-22,50,9.3,NA
2014-05-26,50,0.1,NA
2014-05-26,50,0.8,NA
2014-05-26,50,1.6,NA
2014-05-26,50,2.8,NA
2014-05-26,50,3.8,NA
2014-05-26,50,5,NA
2014-05-26,50,5.2,NA
2014-05-26,50,5.5,NA
2014-05-26,50,5.8,NA
2014-05-26,50,6,NA
2014-05-26,50,6.2,NA
2014-05-26,50,8,NA
2014-05-26,50,9,NA
2014-05-26,50,9.3,NA
2014-05-28,50,0.1,NA
2014-05-28,50,0.8,NA
2014-05-28,50,1.6,NA
2014-05-28,50,2.8,NA
2014-05-28,50,3.8,NA
2014-05-28,50,5,NA
2014-05-28,50,5.2,NA
2014-05-28,50,5.5,NA
2014-05-28,50,5.8,NA
2014-05-28,50,6,NA
2014-05-28,50,6.2,NA
2014-05-28,50,8,NA
2014-05-28,50,9,NA
2014-05-28,50,9.3,NA
2014-06-02,50,0.1,NA
2014-06-02,50,0.8,NA
2014-06-02,50,1.6,NA
2014-06-02,50,2.8,NA
2014-06-02,50,3.8,NA
2014-06-02,50,5,NA
2014-06-02,50,5.2,NA
2014-06-02,50,5.5,NA
2014-06-02,50,5.8,NA
2014-06-02,50,6,NA
2014-06-02,50,6.2,NA
2014-06-02,50,8,NA
2014-06-02,50,9,NA
2014-06-02,50,9.3,NA
2014-06-03,50,0.1,NA
2014-06-03,50,0.8,NA
2014-06-03,50,1.6,NA
2014-06-03,50,2.8,NA
2014-06-03,50,3.8,NA
2014-06-03,50,5,NA
2014-06-03,50,5.2,NA
2014-06-03,50,5.5,NA
